gene	logFC	logCPM	PValue	adj_pval	Status
AC004263.1	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC004386.1	0	1.36117483691085	1	1	NoDE
AC004453.1	0.260289328252354	5.64194005474462	0.592432976320899	1	NoDE
AC004466.1	0	1.36117483691085	1	1	NoDE
AC004477.1	0.801437475906365	1.81849251756958	1	1	NoDE
AC004477.3	0	1.36117483691085	1	1	NoDE
AC004540.1	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC004552.1	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC004585.1	0	1.36117483691085	1	1	NoDE
AC004593.1	0	1.36117483691085	1	1	NoDE
AC004593.3	-3.75982669777166	1.83104761593687	0.263258435735176	1	NoDE
AC004656.1	0	1.36117483691085	1	1	NoDE
AC004687.1	3.14268959005504	1.68454306910267	0.508838957156784	1	NoDE
AC004771.3	0	1.36117483691085	1	1	NoDE
AC004801.6	0	1.36117483691085	1	1	NoDE
AC004803.1	-1.42599474066346	1.950839338875	0.637918869156647	1	NoDE
AC004812.2	0.320257091725254	2.79438609414227	1	1	NoDE
AC004816.1	-3.36045070830325	2.75032812891598	0.00811284085372304	1	NoDE
AC004825.2	0	1.36117483691085	1	1	NoDE
AC004832.3	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC004832.4	2.30662388981671	1.53607960025961	0.999999999999999	1	NoDE
AC004846.1	0	1.36117483691085	1	1	NoDE
AC004847.1	0	1.36117483691085	1	1	NoDE
AC004854.2	-2.3700731841295	1.53824417934498	0.999999999999999	1	NoDE
AC004889.1	0	1.36117483691085	1	1	NoDE
AC004908.2	-0.0958479708477461	2.17667590734572	1	1	NoDE
AC004918.3	0	1.36117483691085	1	1	NoDE
AC004922.1	3.68435879222117	1.82687528854798	0.263258435735176	1	NoDE
AC004943.1	0	1.36117483691085	1	1	NoDE
AC004949.1	3.14268959005504	1.68454306910267	0.508838957156784	1	NoDE
AC004967.1	-0.574170872973616	4.94875078149669	0.249085413184679	1	NoDE
AC004980.1	0.772616405925536	1.82901311338196	1	1	NoDE
AC004987.2	0	1.36117483691085	1	1	NoDE
AC004997.1	-2.34125211414867	1.52748418737269	0.999999999999999	1	NoDE
AC005005.3	0	1.36117483691085	1	1	NoDE
AC005034.3	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC005037.1	0	1.36117483691085	1	1	NoDE
AC005041.3	0	1.36117483691085	1	1	NoDE
AC005046.1	2.30662388981671	1.53607960025961	0.999999999999999	1	NoDE
AC005072.1	2.30662388981671	1.53607960025961	0.999999999999999	1	NoDE
AC005076.1	1.10657304893367	2.25505835936586	0.704604349200308	1	NoDE
AC005077.4	-4.67592090685445	2.16839198941515	0.0397336601147691	1	NoDE
AC005083.1	2.30662388981671	1.53607960025961	0.999999999999999	1	NoDE
AC005099.1	0	1.36117483691085	1	1	NoDE
AC005150.1	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC005154.5	0	1.36117483691085	1	1	NoDE
AC005208.1	3.14268959005504	1.68454306910267	0.508838957156784	1	NoDE
AC005229.4	0.751590095406561	1.82072608220689	1	1	NoDE
AC005261.1	-4.13731823340682	1.95296160582202	0.138371624594686	1	NoDE
AC005261.3	0	1.36117483691085	1	1	NoDE
AC005280.1	-3.18297358938169	1.67596645824521	0.508838957156784	1	NoDE
AC005288.1	0	1.36117483691085	1	1	NoDE
AC005306.1	3.16398140389671	1.69294184226586	0.508838957156784	1	NoDE
AC005307.1	2.30662388981671	1.53607960025961	0.999999999999999	1	NoDE
AC005324.4	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
AC005329.1	0	1.36117483691085	1	1	NoDE
