gene	logFC	logCPM	PValue	adj_pval	Status
LRBA	12.6653284279377	3.01608205618085	8.28989114709155e-47	7.43686134805583e-43	UP
LRCH3	-8.8364852209278	-2.85069716627215	6.55651138131976e-09	5.88184636018196e-05	Down
LRCH4	-13.8499283582311	3.79527797301588	2.95336193693e-88	2.6494609936199e-84	Down
LRG1	-14.2009864558311	4.18202954357722	3.11097035980535e-69	2.79085150978138e-65	Down
LRIF1	2.70468972966317	6.46121717430483	4.78776989081197e-38	4.29510836904742e-34	UP
LRIG1	-14.3185881537739	4.31224549165904	6.58681079082159e-122	5.90902796044605e-118	Down
LRMDA	-12.2339348407164	1.81455626128536	5.69810401722632e-64	5.11176911385373e-60	Down
LRP1	-19.3449063414509	9.45466775056767	2.87095937078403e-273	2.57553765153035e-269	Down
LRP10	-17.0410869800096	7.1362160888217	2.28868837216482e-100	2.05318233866906e-96	Down
LRP11	-15.0139757940578	5.05399497825599	2.95283844784005e-148	2.6489913715573e-144	Down
LRP3	-14.354228246636	4.35097205338055	1.68951109128279e-125	1.51566039998979e-121	Down
LRP5	-18.3267829384145	8.43280062576805	5.83252563281475e-195	5.23235874519811e-191	Down
LRP6	-14.0642974082758	4.03434385093018	9.73571247776431e-115	8.73390766380236e-111	Down
LRPAP1	-16.2843887442869	6.36757458998634	3.8053118756425e-191	3.41374528363889e-187	Down
LRPPRC	-1.11004861412168	8.24738365117299	3.52919682035559e-06	0.03166042467541	NoDE
LRR1	14.0747513532023	4.30350414289871	1.37629246428545e-63	1.23467196971048e-59	UP
LRRC1	-14.0318937608795	4.00004201615695	5.89758638451047e-96	5.29072474554434e-92	Down
LRRC20	-13.9901966002329	3.95437197385883	2.20110860920872e-87	1.97461453332115e-83	Down
LRRC3	-16.3081580801706	6.39205122771978	4.27930531958632e-173	3.83896480220089e-169	Down
LRRC37A2	-13.375098074971	3.25477970938222	4.08743592920511e-100	3.66683877208991e-96	Down
LRRC37BP1	-15.135842853412	5.18135059580701	2.60763580945066e-116	2.33931008465819e-112	Down
LRRC40	14.9629803719398	5.14464576609342	5.92735475350331e-111	5.31742994936782e-107	UP
LRRC41	-15.3391722176241	5.39417278140722	2.40066602070223e-160	2.15363748717197e-156	Down
LRRC42	-0.252667480863036	4.43864022609601	0.255390512116777	1	NoDE
LRRC45	-13.7096326628944	3.63856215089717	9.97716262001441e-106	8.95051258641493e-102	Down
LRRC47	-14.8301229646356	4.86028103725866	2.63315271269315e-144	2.36220129855702e-140	Down
LRRC59	-1.6775186108585	7.41861185155117	1.67709375766954e-15	1.50452081000534e-11	NoDE
LRRC61	-14.8368923036507	4.86627391155108	4.51873310388063e-97	4.05375546749132e-93	Down
LRRC75A-AS1	-0.727833186407375	9.27924202805797	0.00268589650582689	1	NoDE
LRRC75B	-13.1543048633108	2.99285645705775	2.26093588410577e-87	2.02828558163128e-83	Down
LRRC8A	-15.3893774143901	5.44550953874859	6.04636604319527e-96	5.42419497735048e-92	Down
LRRC8D	-1.39104021954396	4.93508383963768	8.98537247526245e-13	8.06077764755795e-09	NoDE
LRRC8E	-13.9451751815808	3.9028946264564	3.02569084192991e-115	2.71434725429533e-111	Down
LRRCC1	13.5183266208513	3.7878764071564	4.59949503277224e-72	4.12620699389998e-68	UP
LRRFIP1	-1.48160994119573	6.30836327028949	4.77611353965718e-10	4.28465145642646e-06	NoDE
LRRFIP2	-0.473712533239744	3.96741565000043	0.0425567124214009	1	NoDE
LRSAM1	-13.370243530827	3.24824651487578	2.69180445995524e-93	2.41481778102585e-89	Down
LSG1	14.5319839572355	4.73389440112616	3.26459245655681e-96	2.92866589277712e-92	UP
LSM1	2.08289570012528	5.36105052922252	9.04930296243267e-17	8.11812968759835e-13	UP
LSM10	0.245790281549508	4.63121409401335	0.403523723100873	1	NoDE
LSM12	1.10461459425397	6.55671575116368	1.43276452773171e-08	0.000128533305782812	NoDE
LSM12P1	-12.7071659429848	2.44233985895651	3.52682626168454e-79	3.1639158393572e-75	Down
LSM14A	-1.6157171939067	6.18647038923966	7.64213948604102e-17	6.8557633329274e-13	NoDE
LSM14B	-15.1262552742118	5.17224443159366	9.95550969528806e-143	8.93108774764292e-139	Down
LSM2	2.15493508948561	6.85396685459364	2.4235417544657e-21	2.17415930793118e-17	UP
LSM3	17.7303264052597	7.8548626742535	5.27132185740485e-187	4.72890283827789e-183	UP
LSM4	-1.98854528416177	5.3225759289071	2.81869574464261e-11	2.52865195251888e-07	NoDE
LSM5	16.583957635774	6.72146332144889	1.74354150138777e-165	1.56413108089497e-161	UP
LSM6	2.34019777811136	4.62542534082461	2.93651243809392e-14	2.63434530821406e-10	UP
LSM7	-0.416211168774872	5.32848140273611	0.123820845239598	1	NoDE
LSM8	3.05260208713717	6.13535959674244	5.74923344209095e-37	5.15763732089979e-33	UP
LSP1P4	-13.7106392396223	3.63955113438763	2.31634983566133e-103	2.07799743757178e-99	Down
LSR	-16.2296231252292	6.31155965375319	4.00700373339019e-173	3.59468304922434e-169	Down
LSS	-17.3625354782102	7.46148454411486	1.68963318116055e-150	1.51576992681913e-146	Down
LTA4H	-1.39490366819293	6.70137504485071	2.57334086497007e-13	2.30854408996465e-09	NoDE
LTBP3	-15.2021083878092	5.25142568499268	3.75569018710815e-157	3.36922966685472e-153	Down
LTBR	-14.6746968430978	4.69302079426221	1.85392312942108e-69	1.66315443940365e-65	Down
LTN1	15.3912770961991	5.55696756115783	2.27320355341198e-117	2.03929090776589e-113	UP
LTV1	2.20994169857313	6.88304588360936	3.72336995543815e-19	3.34023518702356e-15	UP
LUC7L2	1.26053155067238	5.94145292541615	3.62234996790396e-10	3.24961015620665e-06	NoDE
LUC7L3	-0.703423318288311	7.56677544081035	0.0004483914113978	1	NoDE
LURAP1L	-13.3132101332462	3.17948511758151	1.09170751819003e-71	9.79370814568276e-68	Down
LUZP6	9.24436849486344	0.046563493545004	3.46633966373128e-11	3.10965331233333e-07	UP
LY6E	-14.9913207477154	5.02999616616647	1.81492428031745e-136	1.62816857187279e-132	Down
LY6G5B	-12.7205709982028	2.4584776061779	1.77075500513041e-76	1.58854431510249e-72	Down
LYAR	0.0613926949803086	4.80719161052911	0.77646092946299	1	NoDE
LYN	14.8342617007842	5.0214868023543	2.21002975316871e-87	1.98261769156765e-83	UP
LYPLA1	2.81174926545627	7.45359092755615	6.64124888896367e-44	5.9578643782893e-40	UP
LYPLA2	-3.36045666472086	5.63564469039477	1.99837894341175e-33	1.79274575013468e-29	Down
LYPLAL1	14.7968218653856	4.98576285520583	2.41644714530844e-108	2.1677947340562e-104	UP
LYRM1	0.543317547694045	4.57354831038368	0.00936633265092738	1	NoDE
LYRM2	15.251783345641	5.42226821543192	4.27693148924821e-121	3.83683523900457e-117	UP
LYRM4	0.138972153963292	4.95860771969044	0.569647452472682	1	NoDE
LYRM7	15.9862097199527	6.13532199000996	7.64262608915743e-144	6.85619986458313e-140	UP
LYSMD3	14.6299269732741	4.82683038781229	5.39791082934734e-96	4.8424658050075e-92	UP
LYZ	-5.51625986079379	9.88738648349737	2.51820823047453e-68	2.2590846035587e-64	Down
LZIC	1.20521256171268	5.64897739523352	3.23812674112605e-08	0.000290492349946418	NoDE
LZTFL1	13.5800295535593	3.84458958510155	2.79451615038878e-75	2.50696043851378e-71	UP
LZTS2	-15.372116934559	5.42855925381409	8.10054626605829e-165	7.2670000552809e-161	Down
LZTS3	-15.6945398392742	5.7612120188654	2.20532110865437e-75	1.97839356657383e-71	Down
M6PR	1.06984758621902	6.83702521371955	6.01090234783811e-07	0.00539238049624557	NoDE
MACF1	-16.3084485130963	6.39225196750155	9.48149400492276e-195	8.50584827181621e-191	Down
MACO1	-13.5522625428994	3.45947010396687	4.14291160706347e-104	3.71660600269664e-100	Down
MACROD1	-13.8583558416944	3.80442340884207	1.20391323318901e-83	1.08003056149386e-79	Down
MAD1L1	-13.7476734869942	3.68018278244323	7.27431588801808e-84	6.52578878314102e-80	Down
MAD2L1	5.24428873186849	7.66940755726681	4.98874207060914e-38	4.47540051154346e-34	UP
MAD2L1BP	2.97711614996652	6.72126266234061	3.99740692586404e-48	3.58607375319263e-44	UP
MAD2L2	-1.18315836048565	4.77709867448708	4.4184751101672e-09	3.963814021331e-05	NoDE
MAEA	-14.475267076464	4.48114009864248	4.53507910584656e-115	4.06841946585495e-111	Down
MAF1	-15.8234472217583	5.89501567806895	3.82596684203066e-149	3.43227485398571e-145	Down
MAFA-AS1	-10.9488546828026	-0.162656376535913	3.77595920682248e-32	3.38741300444045e-28	Down
MAFF	-14.2890322471097	4.27581735160907	1.08128425651257e-42	9.70020106517429e-39	Down
MAFG	-15.717459364951	5.78493224611468	1.40002628115358e-78	1.25596357682288e-74	Down
MAFK	-15.6072738176874	5.67053273318737	4.5367012466324e-57	4.06987468835393e-53	Down
MAGEA1	14.1837583431736	4.40566673580965	7.38615517072481e-42	6.62611980365723e-38	UP
MAGEA12	15.0119549580611	5.19161851478042	6.66353942420711e-95	5.9778612174562e-91	UP
MAGEA2	13.5506754819175	3.81767077805451	1.35754195706787e-54	1.21785088968559e-50	UP
MAGEA3	12.9879043543081	3.30540311624545	1.67982975491392e-56	1.50697527313327e-52	UP
MAGEA6	13.5803986799984	3.84499428014285	3.54723329499019e-56	3.1822229889357e-52	UP
MAGEA9B	12.4629464927718	2.83642815862495	1.13063561417902e-34	1.01429320948e-30	UP
MAGEB1	15.6675657500924	5.82483542241046	5.10165613594466e-133	4.57669571955595e-129	UP
MAGEB2	16.8572126992495	6.99070139730216	1.78613276034157e-177	1.60233969930242e-173	UP
MAGEC1	15.6970536724335	5.85349845183676	2.21857789244392e-128	1.99028622731144e-124	UP
MAGEC2	16.5443845965113	6.68253838817709	1.99261798117101e-129	1.78757759090851e-125	UP
MAGED1	-17.0590261530872	7.15502854557161	3.36132650718558e-155	3.01544600959618e-151	Down
MAGED2	-2.23838510892285	6.49380820783726	2.95504309644925e-28	2.65096916182462e-24	Down
MAGED4	-15.4605642602836	5.51976344986019	7.46012313803429e-115	6.69247646713056e-111	Down
MAGED4B	-14.4585839486087	4.46587613658132	1.30212920007278e-72	1.16814010538529e-68	Down
