logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_Rep1_GM12878_batch1 GM12878_Rep2_GM12878_batch1
4.21412418691761 6.90810292142437 1.2111397374515e-22 ENSG00000105401.8 1.52325044779276e-18 8 10 184 223
9.20182427058304 5.54718464755195 1.25968937412041e-22 ENSG00000285762.1 1.58431132583124e-18 0 0 77 81
-9.07063996128174 5.33392902614249 1.26032442132679e-22 ENSG00000226025.9 1.5851100247027e-18 72 50 0 0
-3.88200679716214 10.06714918586 1.57330852362138e-22 ENSG00000182117.5 1.97875013015861e-18 1510 1558 123 125
4.4488661260427 6.57012445083947 1.60347014366806e-22 ENSG00000105618.13 2.01668439969132e-18 5 7 123 206
6.12314071734921 5.78505029612821 1.6491686221642e-22 ENSG00000051523.10 2.07415937609592e-18 0 2 64 129
-3.85635931643485 7.51440848724977 1.7688207253673e-22 ENSG00000243147.7 2.22464582629445e-18 255 266 22 21
3.93608340797128 7.41025660942002 1.8626888586406e-22 ENSG00000099817.11 2.34270377751228e-18 15 16 219 371
-9.05354694641284 5.30939555166912 1.97865626469518e-22 ENSG00000154277.12 2.48855598410713e-18 40 77 0 0
-9.03941901534891 5.29376517952056 2.47045237087137e-22 ENSG00000166337.9 3.10708794684493e-18 32 83 0 0
-3.75520563666416 9.11928595270684 2.89716744361466e-22 ENSG00000119013.8 3.64376749383416e-18 709 862 56 88
3.84630235786893 7.77289671234655 2.94653014242898e-22 ENSG00000105568.17 3.70585096013293e-18 14 28 327 416
-3.82099033313081 9.80157701903489 2.95137720026611e-22 ENSG00000203875.11 3.71194710477468e-18 1042 1471 100 117
-9.02329471912765 5.27887455392076 3.06046825444008e-22 ENSG00000245532.8 3.84915092360929e-18 34 80 0 0
-4.08773728414811 6.87372402655771 4.18480459385064e-22 ENSG00000171202.6 5.26322873768595e-18 179 159 17 6
-9.0033412125699 5.26810749026638 4.9189333508256e-22 ENSG00000133142.17 6.18654247533335e-18 65 51 0 0
-9.0033412125699 5.26810749026638 4.9189333508256e-22 ENSG00000182093.15 6.18654247533335e-18 65 51 0 0
-9.00805893370707 5.26941014282071 4.93540255898711e-22 ENSG00000229807.11 6.20725579843809e-18 53 62 0 0
4.85043819668012 6.21439299508444 5.33664230178785e-22 ENSG00000161513.11 6.71189502295858e-18 2 5 102 153
6.06563654125194 5.73025077543002 6.24092302783349e-22 ENSG00000203896.9 7.84920889210618e-18 0 2 66 118
