logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_ONT_Rep1_GM12878_batch1 GM12878_ONT_Rep2_GM12878_batch1
-10.2196667017796 7.46647389177795 3.8496307828808e-23 ENSG00000135218.18 4.7539090537795e-19 292 139 0 0
9.80564460508436 6.72420979372343 3.99880480978403e-23 ENSG00000105701.15 4.9381240596023e-19 0 0 51 77
5.29660116088928 7.28055677226008 5.01270004245025e-23 ENSG00000137970.7 6.19018328242181e-19 6 5 85 92
-5.21032605317846 8.2733124852714 5.70216180666776e-23 ENSG00000135821.18 7.04159961505401e-19 602 173 5 3
9.77399282863294 6.68618700210972 7.79427582114314e-23 ENSG00000184897.5 9.62515121152966e-19 0 0 62 62
-10.1695446991634 7.42032990869251 9.90624077816293e-23 ENSG00000120948.17 1.22332167369534e-18 263 152 0 0
-3.85198843758066 10.4299838225553 2.50778756963381e-22 ENSG00000114942.13 3.09686686974079e-18 1646 1786 40 55
5.20545373957271 7.19729528975028 2.74800821032058e-22 ENSG00000125970.11 3.39351533892488e-18 2 9 83 84
-10.1006608677763 7.35675233899232 3.63570154678086e-22 ENSG00000006625.17 4.48972784011968e-18 211 182 0 0
-9.99425138773061 7.26048281531698 3.86334833698888e-22 ENSG00000067064.11 4.77084886134756e-18 226 141 0 0
5.04005941633919 7.27304996978845 4.16284469115167e-22 ENSG00000172270.19 5.14069690910319e-18 5 8 73 103
9.66609624102164 6.57362899297704 5.47051653676592e-22 ENSG00000262660.1 6.75554087125223e-18 0 0 48 68
-10.0807218391919 7.33840906627738 5.65213413974439e-22 ENSG00000148444.15 6.97982044917035e-18 199 188 0 0
-10.0655618745875 7.32516974525008 7.08547727098529e-22 ENSG00000169139.11 8.74985588193974e-18 228 157 0 0
5.88319758861888 6.7402567013761 9.89914144766799e-22 ENSG00000214389.2 1.22244497737252e-17 2 3 46 81
-10.0459782875477 7.30596108554517 9.96468284713157e-22 ENSG00000161960.14 1.23053868479228e-17 152 223 0 0
-10.043193612977 7.30564738560476 1.11151646544996e-21 ENSG00000137959.15 1.37261168318415e-17 269 113 0 0
-10.0151355722532 7.2781657219768 1.97174960753782e-21 ENSG00000109390.11 2.43491359034845e-17 163 205 0 0
9.58747713485552 6.48571368884561 2.04132838495187e-21 ENSG00000104951.15 2.52083642257706e-17 0 0 54 55
9.50506911044729 6.40181524426735 9.50585259881328e-21 ENSG00000270136.6 1.17387773742745e-16 0 0 40 64
-9.80790046205891 7.09304988830782 1.22761781690124e-20 ENSG00000154165.4 1.51598524209134e-16 253 73 0 0
-3.79017154624446 9.71336438965995 1.85312896321862e-20 ENSG00000102962.4 2.28842895667867e-16 1672 437 31 28
-3.68396539353771 10.1084542258198 1.93498944528986e-20 ENSG00000228474.5 2.38951846598845e-16 1353 1365 40 44
-3.8839689756611 9.40016649987514 2.40344801132773e-20 ENSG00000122545.19 2.96801794918862e-16 1002 668 29 15
-3.50982236392323 10.8411731296032 5.03474966904729e-20 ENSG00000140988.15 6.21741236630649e-16 1224 3215 79 78
9.39467127760985 6.27666009577455 6.65782463460955e-20 ENSG00000236439.4 8.22174764127933e-16 0 0 51 44
-9.71496338342254 7.00572447720213 6.92267128415262e-20 ENSG00000147649.9 8.54880676880007e-16 104 193 0 0
